W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
win,Mitch Gagnon,SUB,1,2013-09-21,Mitch Gagnon,Dustin Kimura,2.5,0.938,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Mitch Gagnon,SUB,1,2012-09-22,Mitch Gagnon,Walel Watson,2.318,0.944,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,820.0,1000.0
loss,Bryan Caraway,SUB,3,2012-07-21,Mitch Gagnon,Bryan Caraway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,430.0,1000.0
loss,Royston Wee,DEC,3,2014-01-04,Dave Galera,Royston Wee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Kazushi Sakuraba,SUB,1,2009-10-25,Zelg Galesic,Kazushi Sakuraba,2.331,0.709,0.25,0.5,0.5,0.5,1.0,0.0,1.137,1.137,3.25,0.5,0.5,0.5,1.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Jacare Souza,SUB,1,2008-09-23,Zelg Galesic,Jacare Souza,2.733,0.475,0.333,0.667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,440.0,1000.0
win,Zelg Galesic,KO/TKO,1,2008-06-15,Zelg Galesic,Taiei Kin,2.591,0.409,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Zelg Galesic,SUB,1,2008-04-29,Zelg Galesic,Magomed Sultanakhmedov,2.647,0.529,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Makoto Takimoto,SUB,1,2007-04-08,Zelg Galesic,Makoto Takimoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,320.0,1000.0
loss,Ramiz Brahimaj,KO/TKO,1,2024-11-16,Mickey Gall,Ramiz Brahimaj,3.325,4.555,0.667,0.2,0.0,0.833,1.0,32.083,1.65,4.023,0.667,0.333,0.0,1.0,1.0,0.0,1000.0,1000.0,330.0,1000.0
loss,Bassil Hafez,DEC,3,2024-06-01,Mickey Gall,Bassil Hafez,2.943,4.247,0.636,0.4,0.0,0.833,1.0,34.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
loss,Mike Malott,KO/TKO,1,2022-04-09,Mickey Gall,Mike Malott,2.917,4.098,0.6,0.4,0.0,0.833,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,992.0,1010.0,880.0
loss,Alex Morono,DEC,3,2021-12-04,Mickey Gall,Alex Morono,2.604,3.678,0.667,0.6,0.0,0.833,1.0,40.0,5.4,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
