W/L,winner,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,f_ELO,o_ELO
win,Sam Hughes,2025-03-15,Sam Hughes,Stephanie Luciano,4.327,4.456,0.778,0.6,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Sam Hughes,2024-08-03,Sam Hughes,Viktoriia Dudakova,4.032,4.51,0.875,0.6,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.0,1034.0
loss,Yazmin Jauregui,2024-02-24,Sam Hughes,Yazmin Jauregui,3.793,4.229,1.0,0.6,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
win,Sam Hughes,2023-04-08,Sam Hughes,Jaqueline Amorim,3.931,4.882,1.0,0.4,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0869593117291,1024.0
loss,Piera Rodriguez,2022-10-15,Sam Hughes,Piera Rodriguez,3.773,4.729,1.2,0.4,0.5,0.0,1.0,3.333,2.067,3.0,1.0,0.0,0.0,1.0,1034.703912848179,860.38304646355
win,Sam Hughes,2022-05-21,Sam Hughes,Elise Reed,3.96,5.7,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Sam Hughes,2022-04-16,Sam Hughes,Istela Nunes,3.486,5.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.0504040312578,1000.0
loss,Luana Pinheiro,2021-11-20,Sam Hughes,Luana Pinheiro,3.45,6.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Loma Lookboonmee,2021-05-01,Sam Hughes,Loma Lookboonmee,4.0,10.4,0.0,0.0,0.0,0.0,1.0,3.533,3.2,1.0,0.0,0.0,0.0,1.0,976.0,1000.0
loss,Tecia Pennington,2020-12-12,Sam Hughes,Tecia Pennington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133,1.8,2.0,1.0,0.0,0.0,1.0,1000.0,992.0
loss,Farid Basharat,2024-10-26,Victor Hugo,Farid Basharat,3.458,2.246,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,832.74
win,Victor Hugo,2024-04-06,Victor Hugo,Pedro Falcao,1.239,1.101,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Victor Hugo,2023-10-03,Victor Hugo,Eduardo Torres Caut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.180585816626,992.0
loss,Quinn Mulhern,2011-11-18,David Hulett,Quinn Mulhern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1169.113932313446,1008.0
win,Bryan Humes,2011-07-30,Bryan Humes,Gabriel Salinas-Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,1000.0
loss,Ovince Saint Preux,2011-01-07,Abongo Humphrey,Ovince Saint Preux,1.901,5.762,0.667,0.333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,992.0,1000.0
loss,Mike Kyle,2010-07-23,Abongo Humphrey,Mike Kyle,1.793,6.454,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Abongo Humphrey,2010-03-26,Abongo Humphrey,George Bush,1.658,6.482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,1000.0
loss,Brett Rogers,2009-04-11,Abongo Humphrey,Brett Rogers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Tyson Pedro,2022-08-20,Harry Hunsucker,Tyson Pedro,3.83,6.702,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.3919075753872,1000.0
loss,Justin Tafa,2021-12-18,Harry Hunsucker,Justin Tafa,4.335,8.441,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.6022642493901,1032.672073317337
loss,Tai Tuivasa,2021-03-20,Harry Hunsucker,Tai Tuivasa,4.766,6.449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
loss,Jared Vanderaa,2020-11-04,Harry Hunsucker,Jared Vanderaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.0,1034.985233301177
loss,Justin Willis,2018-12-01,Mark Hunt,Justin Willis,3.111,3.057,0.357,0.2,0.769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.5582,1046.906373495103
loss,Aleksei Oleinik,2018-09-15,Mark Hunt,Aleksei Oleinik,3.141,3.098,0.37,0.4,0.769,0.0,1.0,4.348,2.609,1.0,1.0,0.0,1.0,1.0,1070.5582,1046.906373495103
loss,Curtis Blaydes,2018-02-10,Mark Hunt,Curtis Blaydes,3.278,3.059,0.385,0.6,0.769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Mark Hunt,2017-06-10,Mark Hunt,Derrick Lewis,3.29,3.089,0.4,0.4,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Alistair Overeem,2017-03-04,Mark Hunt,Alistair Overeem,3.374,3.0,0.417,0.4,0.75,0.0,1.0,3.925,1.682,0.0,1.0,0.5,0.5,1.0,952.0,1016.0
nc,Draw,2016-07-09,Mark Hunt,Brock Lesnar,3.565,2.969,0.435,0.6,0.75,0.0,1.0,3.0,0.6,5.0,1.0,0.0,0.0,1.0,992.0,1000.0
win,Mark Hunt,2016-03-19,Mark Hunt,Frank Mir,3.58,3.011,0.455,0.4,0.727,0.0,1.0,3.117,0.779,1.0,1.0,0.0,1.0,1.0,1000.0,1000.0
win,Mark Hunt,2015-11-14,Mark Hunt,Antonio Silva,3.586,3.022,0.476,0.2,0.7,0.0,1.0,3.88,4.12,0.0,0.0,0.0,0.0,1.0,1008.0,1000.0
loss,Stipe Miocic,2015-05-09,Mark Hunt,Stipe Miocic,3.878,2.757,0.5,0.4,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Fabricio Werdum,2014-11-15,Mark Hunt,Fabricio Werdum,3.996,2.754,0.474,0.6,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.2100265048969,1000.0
win,Mark Hunt,2014-09-20,Mark Hunt,Roy Nelson,3.996,2.768,0.5,0.6,0.667,0.0,1.0,2.353,3.529,0.0,1.0,1.0,0.0,1.0,1000.0,1000.0
draw,Draw,2013-12-06,Mark Hunt,Antonio Silva,3.972,2.547,0.412,0.8,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Junior Dos Santos,2013-05-25,Mark Hunt,Junior Dos Santos,4.219,2.212,0.438,0.8,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1000.0
win,Mark Hunt,2013-03-02,Mark Hunt,Stefan Struve,4.244,2.232,0.4,0.6,0.625,0.0,1.0,5.301,5.752,1.0,1.0,1.0,0.0,1.0,1000.0,1000.0
win,Mark Hunt,2012-02-25,Mark Hunt,Cheick Kongo,4.237,2.231,0.429,0.4,0.571,0.0,1.0,4.359,2.936,3.5,0.5,1.0,0.0,1.0,1167.76447404511,1000.0
win,Mark Hunt,2011-09-24,Mark Hunt,Ben Rothwell,4.436,2.404,0.308,0.2,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0
win,Mark Hunt,2011-02-26,Mark Hunt,Chris Tuchscherer,4.641,2.497,0.333,0.0,0.6,0.0,1.0,1.6,2.267,1.0,1.0,0.0,0.0,1.0,1008.0,1000.0
loss,Sean McCorkle,2010-09-25,Mark Hunt,Sean McCorkle,4.679,2.531,0.273,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Gegard Mousasi,2009-05-26,Mark Hunt,Gegard Mousasi,4.762,2.509,0.3,0.2,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.7805877272046,1000.0
loss,Melvin Manhoef,2008-12-31,Mark Hunt,Melvin Manhoef,4.781,2.451,0.333,0.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Alistair Overeem,2008-07-21,Mark Hunt,Alistair Overeem,4.818,2.491,0.25,0.6,0.6,0.0,1.0,11.667,0.0,0.0,1.0,1.0,0.0,1.0,1102.0,1000.0
loss,Fedor Emelianenko,2006-12-31,Mark Hunt,Fedor Emelianenko,5.343,2.703,0.286,0.8,0.6,0.0,1.0,4.1,1.2,2.0,1.0,1.0,0.0,1.0,1000.0,1000.0
loss,Josh Barnett,2006-07-01,Mark Hunt,Josh Barnett,5.517,2.775,0.333,1.0,0.6,0.0,1.0,1.805,0.637,2.0,1.0,1.0,0.0,1.0,1016.0,1000.0
win,Mark Hunt,2006-05-05,Mark Hunt,Tsuyoshi Kohsaka,4.859,2.411,0.2,0.8,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.9759465863003,1000.0
win,Mark Hunt,2006-02-26,Mark Hunt,Yosuke Nishijima,3.469,2.033,0.0,0.75,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.14,1000.0
win,Mark Hunt,2005-12-31,Mark Hunt,Mirko Filipovic,3.545,1.94,0.0,0.667,0.5,0.0,1.0,5.482,1.218,0.0,1.0,1.0,0.0,1.0,1173.0,1052.0
win,Mark Hunt,2004-12-31,Mark Hunt,Wanderlei Silva,1.61,1.78,0.0,0.5,1.0,0.0,1.0,4.667,1.667,1.0,1.0,0.0,0.0,1.0,1000.0,1000.0
win,Mark Hunt,2004-10-31,Mark Hunt,Dan Bobish,2.031,0.185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.5573776146339,1009.13
loss,Hidehiko Yoshida,2004-06-20,Mark Hunt,Hidehiko Yoshida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0
win,Alex Hunter,1997-10-17,Alex Hunter,Harry Moskowitz,2.8,0.4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1016.0
win,Alex Hunter,1997-07-27,Alex Hunter,Sam Fulton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.2545469902061,1000.0
loss,Nate Diaz,2006-06-15,Joe Hurley,Nate Diaz,0.0,0.729,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Nick Diaz,2003-03-27,Joe Hurley,Nick Diaz,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0209608619523,1000.0
loss,Vitor Ribeiro,2002-07-05,Joe Hurley,Vitor Ribeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1010.534742924816
loss,Luigi Fioravanti,2006-06-24,Solomon Hutcherson,Luigi Fioravanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0
loss,Hwang Paddy McCorry,2025-09-16,In Su,Hwang Paddy McCorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,984.0
