W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Vitor Petrino,KO/TKO,2,2022-09-06,Rodolfo Bellato,Vitor Petrino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1000.0,810.0,1000.0
loss,Mark Madsen,KO/TKO,1,2019-09-28,Danilo Belluardo,Mark Madsen,1.765,2.579,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1020.0,1000.0
loss,Joel Alvarez,KO/TKO,2,2019-06-01,Danilo Belluardo,Joel Alvarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,970.0,1000.0
loss,Askar Askarov,DEC,3,2021-03-06,Joseph Benavidez,Askar Askarov,3.522,2.592,1.069,0.6,0.273,0.182,1.0,18.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
loss,Deiveson Figueiredo,SUB,1,2020-07-18,Joseph Benavidez,Deiveson Figueiredo,3.519,2.523,1.107,0.6,0.273,0.182,1.0,19.179,2.009,3.47,1.0,1.0,0.5,0.0,1.0,0.0,1000.0,972.0,910.0,920.0
loss,Deiveson Figueiredo,KO/TKO,2,2020-02-29,Joseph Benavidez,Deiveson Figueiredo,3.451,2.499,1.148,0.8,0.273,0.182,1.0,19.889,1.267,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1142.1634,1028.0,1340.0,1100.0
win,Joseph Benavidez,KO/TKO,2,2019-06-29,Joseph Benavidez,Jussier Formiga,3.398,2.53,1.192,0.8,0.238,0.19,1.0,20.654,1.987,3.091,0.0,0.0,0.0,0.0,1.0,0.0,1032.0,1000.0,1140.0,1000.0
win,Joseph Benavidez,DEC,3,2019-01-19,Joseph Benavidez,Dustin Ortiz,3.5,2.492,0.96,0.8,0.25,0.2,1.0,21.48,2.767,3.533,2.0,0.5,0.0,0.0,1.0,0.0,1208.2305833813261,1000.0,1590.0,1000.0
win,Joseph Benavidez,KO/TKO,1,2018-11-30,Joseph Benavidez,Alex Perez,3.431,2.481,0.958,0.8,0.211,0.211,1.0,22.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,984.0,960.0,880.0
loss,Sergio Pettis,DEC,3,2018-06-09,Joseph Benavidez,Sergio Pettis,3.404,2.347,0.913,1.0,0.211,0.211,1.0,23.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1100.0,1000.0
win,Joseph Benavidez,DEC,3,2016-12-03,Joseph Benavidez,Henry Cejudo,3.335,2.221,0.955,1.0,0.222,0.222,1.0,24.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,970.0,1000.0
win,Joseph Benavidez,DEC,3,2016-02-06,Joseph Benavidez,Zach Makovsky,3.269,2.193,1.0,1.0,0.235,0.235,1.0,25.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,1000.0,1460.0,1000.0
win,Joseph Benavidez,DEC,3,2015-10-03,Joseph Benavidez,Ali Bagautinov,3.279,2.211,1.105,0.8,0.267,0.267,1.0,27.211,2.425,3.432,3.0,0.75,0.333,0.0,1.0,21.25,1009.0,1000.0,1240.0,1000.0
win,Joseph Benavidez,DEC,3,2015-05-23,Joseph Benavidez,John Moraga,3.21,2.167,0.944,0.8,0.286,0.286,1.0,28.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1420.0,1000.0
win,Joseph Benavidez,DEC,3,2014-11-22,Joseph Benavidez,Dustin Ortiz,2.961,2.142,0.882,0.8,0.308,0.308,1.0,30.412,3.067,0.8,2.0,1.0,0.0,0.0,1.0,0.0,1020.0,1000.0,1010.0,1000.0
win,Joseph Benavidez,SUB,1,2014-04-26,Joseph Benavidez,Tim Elliott,2.979,2.103,0.938,0.6,0.333,0.25,1.0,32.312,3.2,2.867,2.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1200.0,1000.0
loss,Demetrious Johnson,KO/TKO,1,2013-12-14,Joseph Benavidez,Demetrious Johnson,2.992,2.089,1.0,0.8,0.333,0.25,1.0,34.467,3.08,1.76,5.0,1.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Joseph Benavidez,KO/TKO,1,2013-09-04,Joseph Benavidez,Jussier Formiga,2.931,2.091,1.071,0.8,0.273,0.273,1.0,36.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,840.0,1000.0
win,Joseph Benavidez,KO/TKO,2,2013-04-20,Joseph Benavidez,Darren Uyenoyama,2.761,2.149,1.0,0.8,0.2,0.3,1.0,39.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,820.0,1000.0
win,Joseph Benavidez,DEC,3,2013-02-02,Joseph Benavidez,Ian McCall,2.657,2.098,1.083,0.8,0.222,0.333,1.0,43.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Demetrious Johnson,DEC,5,2012-09-22,Joseph Benavidez,Demetrious Johnson,2.836,1.901,1.182,0.8,0.222,0.333,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1070.0,1000.0
win,Joseph Benavidez,KO/TKO,2,2012-03-02,Joseph Benavidez,Yasuhiro Urushitani,2.809,1.917,1.2,0.8,0.125,0.375,1.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1020.0,930.0,1030.0
win,Joseph Benavidez,DEC,3,2011-08-14,Joseph Benavidez,Eddie Wineland,2.581,1.962,1.333,0.8,0.143,0.429,1.0,57.444,1.24,2.2,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,820.0,1000.0
win,Joseph Benavidez,DEC,3,2011-03-19,Joseph Benavidez,Ian Loveland,2.478,1.789,0.875,0.6,0.167,0.5,1.0,64.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,1000.0,970.0,1000.0
win,Joseph Benavidez,SUB,2,2010-11-11,Joseph Benavidez,Wagnney Fabiano,2.505,1.885,1.0,0.6,0.2,0.4,1.0,73.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.171962,1039.0,1220.0,1020.0
loss,Dominick Cruz,DEC,5,2010-08-18,Joseph Benavidez,Dominick Cruz,2.988,1.695,1.167,0.8,0.2,0.4,1.0,86.167,3.12,1.84,4.0,1.0,0.5,0.0,1.0,0.0,1000.0,1008.0,1070.0,1120.0
win,Joseph Benavidez,SUB,2,2010-03-06,Joseph Benavidez,Miguel Torres,3.165,1.623,1.0,0.8,0.25,0.25,1.0,103.4,2.773,2.899,0.0,0.5,0.0,1.0,1.0,1.0,1008.0,1000.0,1100.0,1000.0
win,Joseph Benavidez,KO/TKO,1,2009-12-19,Joseph Benavidez,Rani Yahya,3.124,1.572,1.25,0.75,0.0,0.333,1.0,129.25,0.36,1.72,1.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,920.0,1000.0
loss,Dominick Cruz,DEC,3,2009-08-09,Joseph Benavidez,Dominick Cruz,3.609,1.193,1.667,1.0,0.0,0.333,1.0,172.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,1000.0,1010.0,1000.0
win,Joseph Benavidez,DEC,3,2009-04-05,Joseph Benavidez,Jeff Curran,3.785,0.96,1.5,1.0,0.0,0.5,1.0,25.0,1.267,2.267,0.0,0.0,0.0,0.0,1.0,0.0,984.0,1000.0,700.0,1000.0
win,Joseph Benavidez,DEC,3,2008-12-03,Joseph Benavidez,Danny Martinez,4.444,1.852,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
win,Joseph Benavidez,SUB,1,2008-07-21,Joseph Benavidez,Junya Kudo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,992.0,1560.0,1100.0
win,Charles Bennett,KO/TKO,1,2007-02-10,Charles Bennett,KJ Noons,1.291,1.291,0.6,0.4,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1023.0,1000.0,1100.0
loss,Tatsuya Kawajiri,SUB,1,2006-06-04,Charles Bennett,Tatsuya Kawajiri,1.368,1.492,0.75,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
